"Model","NodeName","ModelHub","NodeTitle","NodeDescription","NodeLabels","Continuous","Nstates","StateName","StateTitle","StateDescription","StateValue","LowerBound","UpperBound","","","","","","","","","","","",""
"PP_OrangeNodes_6","Physics","NA","Physics Understanding","","pnodes,pnode,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Physics","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Physics","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ForceAndMotion","NA","Force and Motion","Newton's laws of motion","Proficiencies,pnodes,Proficiency,HighLevel","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ForceAndMotion","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ForceAndMotion","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","LinearMomentum","NA","Linear Momentum","Properties of momentum
Conservation of momentum","Proficiencies,pnodes,Proficiency,HighLevel","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","LinearMomentum","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","LinearMomentum","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Energy","NA","Energy","Gravitational Potential Energy 
Kinetic Energy
Elastic potential energy 
Energy Conservation ","Proficiencies,pnodes,Proficiency,HighLevel","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Energy","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Energy","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Torque","NA","Torque","Properties of torque
Static equilibrium","Proficiencies,pnodes,Proficiency,HighLevel","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Torque","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","Torque","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NFL","NA","Newton's First Law","яюS","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NFL","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NFL","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NSL","NA","Newton's Second Law","Mass and acceleration are inversely related

Net force and acceleration are directly related","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NSL","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NSL","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NTL","NA","Newton's Third Law","Force pairs act in opposite directions
Force pairs have equal magnitudes","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NTL","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","NTL","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","POfMom","NA","Properties of momentum","Momentum is directly related to mass
Momentum is directly related to velocity
Momentum is parallel to velocity","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","POfMom","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","POfMom","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ConOfMom","NA","Conservation of momentum","The total amount of momentum of a system 
does not change during a collision","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ConOfMom","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","ConOfMom","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyTransfer","NA","Energy can Transfer","","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyTransfer","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyTransfer","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyDissipate","NA","Energy can Dissipate","","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyDissipate","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","EnergyDissipate","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","PropertiesofTorque","NA","Properties of Torque","","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","PropertiesofTorque","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","PropertiesofTorque","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","StaticEquilibrium","NA","Static Equilibrium","","Proficiencies,pnodes,LowLevel,Proficiency","FALSE","3","High","","","0.9674215661","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","StaticEquilibrium","","","","","NA","NA","Medium","","","0","NA","NA","","","","","","","","","","","",""
"PP_OrangeNodes_6","StaticEquilibrium","","","","","NA","NA","Low","","","-0.9674215661","NA","NA","","","","","","","","","","","",""
"Angels","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","3","Gold","","","2","NA","NA","","","","","","","","","","","",""
"Angels","TrophyLevel","","","","","NA","NA","Silver","","","1","NA","NA","","","","","","","","","","","",""
"Angels","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"Angels","SliderAdjust","NA","Number of slider adjustment","","Observable,pnodes","TRUE","4","Zero","","","","0","0.1","","","","","","","","","","","",""
"Angels","SliderAdjust","","","","","NA","NA","One","","","","0.1","1.1","","","","","","","","","","","",""
"Angels","SliderAdjust","","","","","NA","NA","Two","","","","1.1","2.1","","","","","","","","","","","",""
"Angels","SliderAdjust","","","","","NA","NA","MorethanTwo","","","","2.1","Inf","","","","","","","","","","","",""
"Angels","AppropriateSlider","NA","Slider","","Observable,pnodes","FALSE","4","almostAlways","almost always","#Irrelvant < 2","","NA","NA","","","","","","","","","","","",""
"Angels","AppropriateSlider","","","","","NA","NA","mostly","mostly","#Irrelvant < #Relevant","","NA","NA","","","","","","","","","","","",""
"Angels","AppropriateSlider","","","","","NA","NA","mostlyNot","mostlyNot","#relevant <= #Irrevalnt","","NA","NA","","","","","","","","","","","",""
"Angels","AppropriateSlider","","","","","","","almostNever","almost never","#relevant < 2","","","","","","","","","","","","","","",""
"Angels","Bounciness","NA","Check Bounciness","","Observable,pnodes","FALSE","2","Yes","","","","NA","NA","","","","","","","","","","","",""
"Angels","Bounciness","","","","","NA","NA","No","","","","NA","NA","","","","","","","","","","","",""
"BackandForth","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","2","Gold","","","2","NA","NA","","","","","","","","","","","",""
"BackandForth","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"BackandForth","PufferClicks","NA","Number of puffer clicks","","Observable,pnodes","TRUE","4","Zero","","","","0","0.1","","","","","","","","","","","",""
"BackandForth","PufferClicks","","","","","NA","NA","One","","","","0.1","1.1","","","","","","","","","","","",""
"BackandForth","PufferClicks","","","","","NA","NA","Two","","","","1.1","2.1","","","","","","","","","","","",""
"BackandForth","PufferClicks","","","","","NA","NA","MorethanTwo","","","","2.1","Inf","","","","","","","","","","","",""
"Balance","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","3","Gold","","","2","NA","NA","","","","","","","","","","","",""
"Balance","TrophyLevel","","","","","NA","NA","Silver","","","1","NA","NA","","","","","","","","","","","",""
"Balance","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"Balance","RightBlower","NA","Blower at the right of the Screen","","Observable,pnodes","TRUE","4","Zero","","","","0","7.25","","","","","","","","","","","",""
"Balance","RightBlower","","","","","NA","NA","One","","","","7.25","14.5","","","","","","","","","","","",""
"Balance","RightBlower","","","","","NA","NA","Two","","","","14.5","26","","","","","","","","","","","",""
"Balance","RightBlower","","","","","NA","NA","MorethanTwo","","","","26","Inf","","","","","","","","","","","",""
"Balance","LeftBlower","NA","Blower at the left of the Screen","","Observable,pnodes","TRUE","4","Zero","","","","0","5","","","","","","","","","","","",""
"Balance","LeftBlower","","","","","NA","NA","One","","","","5","12","","","","","","","","","","","",""
"Balance","LeftBlower","","","","","NA","NA","Two","","","","12","22","","","","","","","","","","","",""
"Balance","LeftBlower","","","","","NA","NA","MorethanTwo","","","","22","Inf","","","","","","","","","","","",""
"Balance","BottomBlower","NA","Blower at the bottom of the Screen","","Observable,pnodes","TRUE","4","Zero","","","","0","11.75","","","","","","","","","","","",""
"Balance","BottomBlower","","","","","NA","NA","One","","","","11.75","27.5","","","","","","","","","","","",""
"Balance","BottomBlower","","","","","NA","NA","Two","","","","27.5","54.75","","","","","","","","","","","",""
"Balance","BottomBlower","","","","","NA","NA","MorethanTwo","","","","54.75","Inf","","","","","","","","","","","",""
"BasementStairs","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","3","Gold","","","2","NA","NA","","","","","","","","","","","",""
"BasementStairs","TrophyLevel","","","","","NA","NA","Silver","","","1","NA","NA","","","","","","","","","","","",""
"BasementStairs","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"BasementStairs","SliderAdjust","NA","Number of slider adjustment","","Observable,pnodes","TRUE","4","Zero","","","","0","0.1","","","","","","","","","","","",""
"BasementStairs","SliderAdjust","","","","","NA","NA","One","","","","0.1","1.1","","","","","","","","","","","",""
"BasementStairs","SliderAdjust","","","","","NA","NA","Two","","","","1.1","2.1","","","","","","","","","","","",""
"BasementStairs","SliderAdjust","","","","","NA","NA","MorethanTwo","","","","2.1","Inf","","","","","","","","","","","",""
"BasementStairs","AppropriateSlider","NA","Slider","","Observable,pnodes","FALSE","4","almostAlways","almost always","#Irrelvant < 2","","NA","NA","","","","","","","","","","","",""
"BasementStairs","AppropriateSlider","","","","","NA","NA","mostly","mostly","#Irrelvant < #Relevant","","NA","NA","","","","","","","","","","","",""
"BasementStairs","AppropriateSlider","","","","","NA","NA","mostlyNot","mostlyNot","#relevant <= #Irrevalnt","","NA","NA","","","","","","","","","","","",""
"BasementStairs","AppropriateSlider","","","","","","","almostNever","almost never","#relevant < 2","","","","","","","","","","","","","","",""
"BasementStairs","Bounciness","NA","Check Bounciness","","Observable,pnodes","FALSE","2","Yes","","","","NA","NA","","","","","","","","","","","",""
"BasementStairs","Bounciness","","","","","NA","NA","No","","","","NA","NA","","","","","","","","","","","",""
"Blocked","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","3","Gold","","","2","NA","NA","","","","","","","","","","","",""
"Blocked","TrophyLevel","","","","","NA","NA","Silver","","","1","NA","NA","","","","","","","","","","","",""
"Blocked","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"Blocked","SliderAdjust","NA","Number of slider adjustment","","Observable,pnodes","TRUE","4","Zero","","","","0","0.1","","","","","","","","","","","",""
"Blocked","SliderAdjust","","","","","NA","NA","One","","","","0.1","1.1","","","","","","","","","","","",""
"Blocked","SliderAdjust","","","","","NA","NA","Two","","","","1.1","2.1","","","","","","","","","","","",""
"Blocked","SliderAdjust","","","","","NA","NA","MorethanTwo","","","","2.1","Inf","","","","","","","","","","","",""
"Blocked","AppropriateSlider","NA","Slider","","Observable,pnodes","FALSE","4","almostAlways","almost always","#Irrelvant < 2","","NA","NA","","","","","","","","","","","",""
"Blocked","AppropriateSlider","","","","","NA","NA","mostly","mostly","#Irrelvant < #Relevant","","NA","NA","","","","","","","","","","","",""
"Blocked","AppropriateSlider","","","","","NA","NA","mostlyNot","mostlyNot","#relevant <= #Irrevalnt","","NA","NA","","","","","","","","","","","",""
"Blocked","AppropriateSlider","","","","","","","almostNever","almost never","#relevant < 2","","","","","","","","","","","","","","",""
"Blocked","LeftBlower","NA","Blower at the left of the Screen","","Observable,pnodes","TRUE","4","Zero","","","","0","9","","","","","","","","","","","",""
"Blocked","LeftBlower","","","","","NA","NA","One","","","","9","20","","","","","","","","","","","",""
"Blocked","LeftBlower","","","","","NA","NA","Two","","","","20","37","","","","","","","","","","","",""
"Blocked","LeftBlower","","","","","NA","NA","MorethanTwo","","","","37","Inf","","","","","","","","","","","",""
"BlockedbyBlocks","TrophyLevel","NA","Level solving status","","Observable,pnodes","FALSE","3","Gold","","","2","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","TrophyLevel","","","","","NA","NA","Silver","","","1","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","TrophyLevel","","","","","NA","NA","None","","","0","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","SliderAdjust","NA","Number of slider adjustment","","Observable,pnodes","TRUE","4","Zero","","","","0","0.1","","","","","","","","","","","",""
"BlockedbyBlocks","SliderAdjust","","","","","NA","NA","One","","","","0.1","1.1","","","","","","","","","","","",""
"BlockedbyBlocks","SliderAdjust","","","","","NA","NA","Two","","","","1.1","2.1","","","","","","","","","","","",""
"BlockedbyBlocks","SliderAdjust","","","","","NA","NA","MorethanTwo","","","","2.1","Inf","","","","","","","","","","","",""
"BlockedbyBlocks","AppropriateSlider","NA","Slider","","Observable,pnodes","FALSE","4","almostAlways","almost always","#Irrelvant < 2","","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","AppropriateSlider","","","","","NA","NA","mostly","mostly","#Irrelvant < #Relevant","","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","AppropriateSlider","","","","","NA","NA","mostlyNot","mostlyNot","#relevant <= #Irrevalnt","","NA","NA","","","","","","","","","","","",""
"BlockedbyBlocks","AppropriateSlider","","","","","","","almostNever","almost never","#relevant < 2","","","","","","","","","","","","","","",""
"BlockedbyBlocks","LeftBlower","NA","Blower at the left of the Screen","","Observable,pnodes","TRUE","4","Zero","","","","0","6.25","","","","","","","","","","","",""
"BlockedbyBlocks","LeftBlower","","","","","NA","NA","One","","","","6.25","13","","","","","","","","","","","",""
"BlockedbyBlocks","LeftBlower","","","","","NA","NA","Two","","","","13","23","","","","","","","","","","","",""
